,price
122,0.06881785783352212
125,0.4668895212310412
166,0.12210956709119541
1,0.3144459485592729
199,0.38213111583832915
190,0.13432052380031495
96,0.06577893195568693
177,0.16935105119208776
181,0.29372599939221483
97,0.07959223140039232
120,0.03069315136613532
117,0.36002983672680056
57,0.23557200873000528
44,0.10492582258198194
153,0.04972787800093931
85,0.05168936652208747
127,0.7986849738928641
151,0.0337044506450811
204,0.4836588667569136
10,0.31251208663701413
20,0.04025195458187142
170,0.1679973478465066
82,0.20750338425836395
12,0.43793684559493884
16,1.0
178,0.31604829129485873
90,0.05472829239992266
89,0.010525734176865476
45,0.10492582258198194
161,0.08951018040169076
116,0.35450451694891844
189,0.17893748100671325
192,0.2410973285078874
148,0.07997900378484404
51,0.026991187114954268
175,0.13454153659143026
39,0.10296433406083377
163,0.08122220073486752
37,0.07671906511589358
6,0.34787413321545985
54,0.06290576567118822
25,0.043484266651932474
21,0.012542475895792465
48,0.8407326574025472
9,0.35199049644998204
23,0.07843191424703705
35,0.06014310578224716
112,0.3254965881150372
50,0.0021272481144846145
62,0.14164157250600878
145,0.16965494377987128
146,0.06478437439566814
19,0.032516506892836416
194,0.21609525651297068
55,0.1609801917285963
142,0.07340387324916431
22,0.034781888001768096
42,0.14440423239494987
102,0.2564024642926209
185,0.08500704478271681
33,0.03898113103295853
76,0.007486808299030312
119,0.07843191424703705
179,0.3005773959167887
114,0.33033124292068405
95,0.07406691162251017
84,0.25888885819266794
196,0.3002182501312264
154,0.07680194491256181
71,0.8029947233196122
5,0.2799126999475095
36,0.06014310578224716
43,0.04605354034864767
162,0.11437411940216041
183,0.07892919302704646
139,0.05345746885100974
70,0.7316075917893748
131,0.13197226289471503
149,0.18167251429676495
150,0.006354117744564458
0,0.23142801889659365
78,0.04284885487747603
171,0.17766665745780036
68,0.6390032323120701
193,0.19813796723485372
152,0.0378484404784927
30,0.03759980108848801
106,0.3669088598502639
13,0.44166643644500925
72,0.8270851175511783
17,0.8774760339254636
18,0.0009116777633505491
38,0.10987098378318644
109,0.20228195706826535
47,0.7495648810674919
113,0.31983313534270796
56,0.18584413072906597
27,0.09503550017957291
63,0.1568362018951847
147,0.1403431223582065
105,0.4028234384064978
121,0.043484266651932474
2,0.3144459485592729
80,0.1337403652236373
191,0.22590269911871153
61,0.15131088211730254
49,0.853164626902782
135,0.28709561565875624
202,0.45216454402298534
91,0.04229632289968782
4,0.34069121750421305
100,0.12241345967897893
141,0.05547421056993673
129,0.7260822720114927
159,0.07376301903472665
132,0.185982263723513
108,0.22327817222421747
155,0.10111335193524326
130,0.11539630356106861
86,0.08484128518938033
93,0.06163494212227533
137,0.37301433820482366
144,0.11368345442992511
58,0.2908252065088267
60,0.09329502444954002
107,0.18736359366798355
143,0.13376799182252674
203,0.47937674392905494
34,0.05555709036660497
14,0.5372544686023704
66,0.3653893969113463
53,0.04356714644860071
98,0.08649888112274498
180,0.2920684034588502
94,0.06025361217780478
138,0.0
176,0.159681741580794
79,0.07102798574467498
87,0.114954277978838
103,0.2315385252921513
67,0.5645219217062187
24,0.03069315136613532
8,0.5181921153686769
